# ID;Type;Item;Block;Name
0;empty;false;false;empty
1;ground;false;false;Ground
2;ground;false;true;Wall
3;ground;false;false;Ground
4;ground;false;true;Wall
5;ground;false;false;Ground
6;ground;false;true;Wall
7;ground;false;false;Ground
8;ground;false;false;Ground
9;ground;false;false;Ground
10;ground;false;false;Ground
11;ground;false;false;Ground
12;ground;false;false;Ground
13;ground;false;false;Ground
14;floor;false;false;Floor
15;ground;false;false;Ground
16;ground;false;false;Ground
17;ground;false;false;Ground
18;ground;false;false;Ground
19;ground;false;false;Ground
20;ground;false;false;Ground
21;ground;false;false;Ground
22;ground;false;false;Ground
23;ground;false;false;Ground
24;ground;false;false;Ground
25;ground;false;false;Ground
26;ground;false;false;Ground
27;ground;false;false;Ground
28;ground;false;false;Ground
29;ground;false;false;Ground
30;ground;false;false;Ground
31;ground;false;false;Ground
32;ground;false;false;Ground
33;ground;false;false;Ground
34;ground;false;false;Ground
35;ground;false;false;Ground
36;ground;false;false;Ground
37;ground;false;false;Ground
38;ground;false;false;Ground
39;ground;false;false;Ground
40;ground;false;false;Ground
41;ground;false;false;Ground
42;ground;false;false;Ground
43;ground;false;false;Ground
44;ground;false;false;Ground
45;ground;false;false;Ground
46;ground;false;false;Ground
47;ground;false;false;Ground
48;ground;false;false;Ground
49;ground;false;false;Ground
50;ground;false;false;Ground
51;ground;false;false;Ground
52;ground;false;false;Ground
53;ground;false;false;Ground
54;ground;false;false;Ground
55;ground;false;false;Ground
56;ground;false;false;Ground
57;ground;false;false;Ground
58;ground;false;false;Ground
59;ground;false;false;Ground
60;ground;false;false;Ground
61;ground;false;false;Ground
62;ground;false;false;Ground
63;ground;false;false;Ground
64;ground;false;false;Ground
65;ground;false;false;Ground
66;ground;false;false;Ground
67;ground;false;false;Ground
68;ground;false;false;Ground
69;ground;false;false;Ground
70;ground;false;false;Ground
71;ground;false;false;Ground
72;ground;false;false;Ground
73;ground;false;false;Ground
74;ground;false;false;Ground
75;ground;false;false;Ground
76;ground;false;false;Ground
77;ground;false;false;Ground
78;ground;false;false;Ground
79;ground;false;false;Ground
80;ground;false;false;Ground
81;ground;false;false;Ground
82;ground;false;false;Ground
83;ground;false;false;Ground
84;ground;false;false;Ground
85;ground;false;false;Ground
86;ground;false;false;Ground
87;ground;false;false;Ground
88;ground;false;false;Ground
89;ground;false;false;Ground
90;ground;false;false;Ground
91;ground;false;false;Ground
92;ground;false;false;Ground
93;ground;false;false;Ground
94;ground;false;false;Ground
95;ground;false;false;Ground
96;ground;false;false;Ground
97;ground;false;false;Ground
98;ground;false;false;Ground
99;ground;false;false;Ground
100;ground;false;false;Ground
101;ground;false;false;Ground
102;ground;false;false;Ground
103;ground;false;false;Ground
104;ground;false;false;Ground
105;ground;false;false;Ground
106;ground;false;false;Ground
107;ground;false;false;Ground
108;ground;false;false;Ground
109;ground;false;false;Ground
110;ground;false;false;Ground
111;ground;false;false;Ground
112;ground;false;false;Ground
113;ground;false;false;Ground
114;ground;false;false;Ground
115;ground;false;false;Ground
116;ground;false;false;Ground
117;ground;false;false;Ground
118;ground;false;false;Ground
119;ground;false;false;Ground
120;ground;false;false;Ground
121;ground;false;false;Ground
122;ground;false;false;Ground
123;ground;false;false;Ground
124;ground;false;false;Ground
125;ground;false;false;Ground
126;ground;false;false;Ground
127;ground;false;false;Ground
128;ground;false;false;Ground
129;door;false;false;Door
130;;;;
131;;;;
132;;;;
133;;;;
134;;;;
135;;;;
136;;;;
137;;;;
138;;;;
139;;;;
140;;;;
141;;;;
142;;;;
143;;;;
144;;;;
145;;;;
146;;;;
147;;;;
148;;;;
149;;;;
150;;;;
151;;;;
152;;;;
153;;;;
154;;;;
155;;;;
156;;;;
157;;;;
158;;;;
159;;;;
160;;;;
161;;;;
162;;;;
163;;;;
164;;;;
165;;;;
166;;;;
167;;;;
168;;;;
169;;;;
170;;;;
171;;;;
172;;;;
173;;;;
174;;;;
175;;;;
176;;;;
177;;;;
178;;;;
179;;;;
180;;;;
181;;;;
182;;;;
183;;;;
184;;;;
185;;;;
186;;;;
187;;;;
188;;;;
189;;;;
190;;;;
191;;;;
192;;;;
193;;;;
194;;;;
